"iso3";"region";"mena"
"ISR";"Western Asia";"mena"
"DZA";"";"North Africa"
"OMN";"Western Asia";"Gulf Cooperation Council"
"IRN";"";"Iran"
"BHR";"";"Gulf Cooperation Council"
"YEM";"";"mena"
"DZA";"Northern Africa";"North Africa"
"IRQ";"";"Syria Situation"
"MAR";"";"North Africa"
"MRT";"";"North Africa"
"ARE";"";"Gulf Cooperation Council"
"PSE";"Western Asia";"mena"
"SAU";"Western Asia";"Gulf Cooperation Council"
"MRT";"Western Africa";"North Africa"
"QAT";"";"Gulf Cooperation Council"
"KWT";"";"Gulf Cooperation Council"
"ISR";"";"mena"
"TUN";"";"North Africa"
"BHR";"Western Asia";"Gulf Cooperation Council"
"OMN";"";"Gulf Cooperation Council"
"SYR";"";"Syria Situation"
"LBY";"Northern Africa";"North Africa"
"JOR";"";"Syria Situation"
"EGY";"";"Syria Situation"
"IRQ";"Western Asia";"Syria Situation"
"LBY";"";"North Africa"
"TUR";"";"Turkey"
"SAU";"";"Gulf Cooperation Council"
"QAT";"Western Asia";"Gulf Cooperation Council"
"ARE";"Western Asia";"Gulf Cooperation Council"
"PSE";"";"mena"
"ESH";"Northern Africa";"North Africa"
"KWT";"Western Asia";"Gulf Cooperation Council"
"IRN";"Southern Asia";"Iran"
"LBN";"";"Syria Situation"
